Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ITDEU1D,Germany 1-month Treasury Bond Yield,Treasury Bill Yields,Europe Euro,Germany,,,,,,,Percent per Annum,Units,Stock,NA ,Daily From Nov 2010 To Jun 2018<BR>,,
Date,Ticker,Open,High,Low,Close
11/11/2010,ITDEU1D,,,,0.564
11/12/2010,ITDEU1D,,,,0.524
11/15/2010,ITDEU1D,,,,0.497
11/16/2010,ITDEU1D,,,,0.468
11/17/2010,ITDEU1D,,,,0.398
11/18/2010,ITDEU1D,,,,0.338
11/19/2010,ITDEU1D,,,,0.312
11/22/2010,ITDEU1D,,,,0.283
11/23/2010,ITDEU1D,,,,0.249
11/24/2010,ITDEU1D,,,,0.21
11/25/2010,ITDEU1D,,,,0.2
11/26/2010,ITDEU1D,,,,0.18
11/29/2010,ITDEU1D,,,,0.206
11/30/2010,ITDEU1D,,,,0.439
12/01/2010,ITDEU1D,,,,0.459
12/02/2010,ITDEU1D,,,,0.467
12/03/2010,ITDEU1D,,,,0.48
12/06/2010,ITDEU1D,,,,0.453
12/07/2010,ITDEU1D,,,,0.434
12/08/2010,ITDEU1D,,,,0.404
12/09/2010,ITDEU1D,,,,0.384
12/10/2010,ITDEU1D,,,,0.373
12/13/2010,ITDEU1D,,,,0.36
12/14/2010,ITDEU1D,,,,0.333
12/15/2010,ITDEU1D,,,,0.319
12/16/2010,ITDEU1D,,,,0.344
12/17/2010,ITDEU1D,,,,0.36
12/20/2010,ITDEU1D,,,,0.343
12/21/2010,ITDEU1D,,,,0.342
12/22/2010,ITDEU1D,,,,0.246
12/23/2010,ITDEU1D,,,,0.315
12/27/2010,ITDEU1D,,,,0.309
12/28/2010,ITDEU1D,,,,0.305
12/29/2010,ITDEU1D,,,,0.33
12/30/2010,ITDEU1D,,,,0.28
01/03/2011,ITDEU1D,,,,0.298
01/04/2011,ITDEU1D,,,,0.297
01/05/2011,ITDEU1D,,,,0.284
01/06/2011,ITDEU1D,,,,0.288
01/07/2011,ITDEU1D,,,,0.286
01/10/2011,ITDEU1D,,,,0.322
01/11/2011,ITDEU1D,,,,0.347
01/12/2011,ITDEU1D,,,,0.36
01/13/2011,ITDEU1D,,,,0.391
01/14/2011,ITDEU1D,,,,0.409
01/17/2011,ITDEU1D,,,,0.432
01/18/2011,ITDEU1D,,,,0.477
